time;minPm10;averagePm10;maxPm10;maxWindDirection;averageWindDirection;minWindDirection;maxWindSpeed;averageWindSpeed;minWindSpeed;minAirPressure;averageAirPressure;maxAirPressure;minSeaLevelPressure;averageSeaLevelPressure;maxSeaLevelPressure;minAirTemp;averageAirTemp;maxAirTemp;minWindchill;averageWindchill;maxWindchill;minHeatindex;averageHeatindex;maxHeatindex;minDewPointTemperature;averageDewPointTemperature;maxDewPointTemperature;rainAccumulation;rainIntensity;minRelativeHumidity;maxRelativeHumidity;averageRelativeHumidity
"2021-01-01 00:00:00+01:00";44.3;53.947457627119;64.4;354;337;0;1.5;0.68666666666667;0.2;981.5;981.53;981.6;1007.1;1007.13;1007.2;-0.5;-0.31166666666667;-0.2;-0.8;0.30666666666667;0.9;73.5;74.188333333333;75.3;-3.2;-2.9933333333333;-2.8;0;0;82.1;82.4;82.235
"2021-01-01 01:00:00+01:00";41.9;53.145762711864;63.7;359;343;1;1.2;0.53833333333333;0.1;981.5;981.54833333333;981.6;1007.1;1007.1483333333;1007.2;-0.6;-0.24833333333333;-0.1;-0.4;0.545;1.2;72.9;73.91;76;-3.3;-2.9483333333333;-2.7;0;0;81.6;82.4;82.02
"2021-01-01 02:00:00+01:00";54.3;58.908333333333;62.8;359;350;0;1.4;0.835;0.3;981.6;981.65333333333;981.8;1007.2;1007.2533333333;1007.4;-0.6;-0.44666666666667;-0.2;-0.8;0.0083333333333333;0.8;73.7;75.158333333333;76.1;-3.4;-3.22;-3;0;0;81.3;82;81.585
"2021-01-01 03:00:00+01:00";45.4;54.565;61.6;357;355;0;1.8;0.79;0.2;981.6;981.675;981.8;1007.2;1007.2816666667;1007.5;-0.7;-0.46833333333333;-0.2;-1.4;0.033333333333333;1;73.7;75.256666666667;76.6;-3.5;-3.2133333333333;-2.9;0;0;81.4;82;81.663333333333
"2021-01-01 04:00:00+01:00";41.3;44.84406779661;49.6;346;272;17;2.1;0.63333333333333;0.1;981.5;981.635;981.7;1007.1;1007.235;1007.3;-0.5;-0.28;-0.1;-1.4;0.39833333333333;1.2;73.2;74.45;75.9;-3.5;-3.1716666666667;-2.9;0;0;80;81.6;80.871666666667
"2021-01-01 05:00:00+01:00";34.2;40.349152542373;44.2;296;191;136;1.8;1.0066666666667;0.3;981.6;981.67833333333;981.9;1007.2;1007.3516666667;1007.6;-0.9;-0.705;-0.4;-1.6;-0.46;0.6;75.2;76.935;78;-3.8;-3.645;-3.3;0;0;80.2;81;80.536666666667
"2021-01-01 06:00:00+01:00";30.6;38.265;42;347;275;24;2.1;0.76833333333333;0.2;981.9;982.14166666667;982.3;1007.6;1007.8416666667;1008;-1;-0.81833333333333;-0.6;-1.9;-0.28833333333333;0.5;76.5;77.665;78.7;-4;-3.8116666666667;-3.6;0;0;79.7;81;80.203333333333
"2021-01-01 07:00:00+01:00";33.8;40.026666666667;44.1;345;177;50;1.9;0.72;0.2;982.3;982.42833333333;982.6;1008;1008.1283333333;1008.3;-0.8;-0.66666666666667;-0.5;-1.5;-0.081666666666667;0.6;76;76.938333333333;77.8;-3.9;-3.745;-3.6;0;0;79.3;80.2;79.711666666667
"2021-01-01 08:00:00+01:00";24.5;36.284745762712;42.9;301;188;104;2.4;1.105;0.1;982.6;982.68833333333;982.8;1008.3;1008.3883333333;1008.5;-1.2;-0.815;-0.5;-2.4;-0.66666666666667;0.6;76;77.855;80.2;-4.4;-3.94;-3.6;0;0;78.6;79.8;79.39
"2021-01-01 09:00:00+01:00";29.1;33.984745762712;37.2;251;190;147;1.9;0.84166666666667;0.2;982.8;982.96833333333;983;1008.5;1008.6683333333;1008.7;-1.1;-0.86;-0.6;-1.9;-0.41;0.5;76.9;78.271666666667;79.6;-4.3;-4.095;-3.9;0;0;78.1;79.5;78.706666666667
"2021-01-01 10:00:00+01:00";34.7;37.296610169492;41.2;344;192;14;1.7;0.62666666666667;0.2;982.9;983.075;983.2;1008.5;1008.715;1008.9;-0.5;-0.19333333333333;0.1;-0.8;0.49;1.2;73.4;74.898333333333;76.6;-4;-3.7066666666667;-3.4;0;0;76.2;78.3;77.223333333333
"2021-01-01 11:00:00+01:00";31.5;38.159322033898;41.3;358;110;17;1.9;0.80166666666667;0.2;982.7;982.94166666667;983.1;1008.3;1008.5416666667;1008.7;0;0.14666666666667;0.5;-0.8;0.63;1.5;71.6;73.3;74.2;-3.8;-3.5833333333333;-3.4;0;0;74.3;76.8;75.996666666667
"2021-01-01 12:00:00+01:00";36.8;39.798305084746;45;162;86;26;2.2;1.1166666666667;0.3;982.5;982.56833333333;982.7;1008;1008.1666666667;1008.3;0.1;0.38833333333333;0.7;-0.9;0.51833333333333;1.7;70.6;72.22;73.7;-3.9;-3.56;-3.2;0;0;74;75.8;74.821666666667
"2021-01-01 13:00:00+01:00";32.7;41.035;44.5;241;72;11;2.8;1.2283333333333;0.2;982.7;982.82166666667;983;1008.3;1008.4216666667;1008.6;-0.1;0.28666666666667;0.6;-1.7;0.29;1.7;71.1;72.633333333333;74.5;-3.9;-3.525;-3.3;0;0;74.5;77;75.586666666667
"2021-01-01 14:00:00+01:00";39.2;44.928333333333;52.7;162;87;12;2.4;1.2466666666667;0.4;983;983.115;983.2;1008.6;1008.715;1008.8;-0.2;-0.051666666666667;0.2;-1.4;-0.075;0.9;72.8;74.071666666667;74.8;-3.7;-3.5116666666667;-3.3;0;0;76.8;78.5;77.505
"2021-01-01 15:00:00+01:00";37.1;49.61;53.2;319;87;9;2.7;1.0816666666667;0.3;983.1;983.30833333333;983.6;1008.7;1008.9083333333;1009.2;-0.2;0.031666666666667;0.2;-1.8;0.19666666666667;1.2;72.4;73.391666666667;74.7;-3.5;-3.25;-3;0;0;78.2;79;78.585
"2021-01-01 16:00:00+01:00";37.6;43.723728813559;53.8;181;127;16;2.2;1.1633333333333;0.3;983.5;983.675;983.8;1009.1;1009.2833333333;1009.5;-0.1;0.026666666666667;0.2;-1.1;0.1;1.3;72.4;73.311666666667;74;-3.3;-3.18;-3;0;0;78.2;79.8;78.986666666667
"2021-01-01 17:00:00+01:00";34.6;39.808474576271;45.1;357;95;17;2.1;1.1716666666667;0.3;983.7;983.85833333333;984.1;1009.4;1009.5583333333;1009.8;-0.5;-0.285;-0.1;-1.5;-0.23;0.8;73.4;74.585;75.8;-3.5;-3.235;-3;0;0;79.5;81.4;80.525
"2021-01-01 18:00:00+01:00";35.7;40.518644067797;44.4;341;186;10;1.9;0.73;0.2;984.1;984.4;984.7;1009.8;1010.1;1010.4;-0.4;-0.20833333333333;0;-1.1;0.355;1.2;72.6;73.868333333333;75;-3.2;-3.0083333333333;-2.8;0;0;81.2;81.7;81.458333333333
"2021-01-01 19:00:00+01:00";37.7;40.971186440678;44.6;332;236;6;1.8;0.74166666666667;0.2;984.7;984.83;985;1010.4;1010.53;1010.7;-0.5;-0.285;0;-0.9;0.27333333333333;1.2;72.6;74.3;75.5;-3.3;-3.0783333333333;-2.8;0;0;81;81.7;81.443333333333
"2021-01-01 20:00:00+01:00";37.1;40.18;45;349;267;132;1.6;0.66666666666667;0.2;985;985.18833333333;985.5;1010.7;1010.89;1011.2;-0.8;-0.51;-0.3;-1;0.13666666666667;0.8;74.4;75.616666666667;77.2;-3.6;-3.3183333333333;-3.1;0;0;80.9;81.5;81.235
"2021-01-01 21:00:00+01:00";37.6;41.145;44.6;348;304;12;1.8;0.655;0.2;985.5;985.72166666667;986;1011.2;1011.455;1011.8;-0.7;-0.56666666666667;-0.4;-1.2;0.096666666666667;0.7;75;75.925;76.8;-3.6;-3.3716666666667;-3.2;0;0;81;81.6;81.271666666667
"2021-01-01 22:00:00+01:00";36.8;39.838983050847;44.3;345;283;220;1.1;0.50333333333333;0.2;986;986.16333333333;986.3;1011.7;1011.945;1012.1;-0.7;-0.57833333333333;-0.4;-0.6;0.26666666666667;0.7;74.9;76.02;76.8;-3.6;-3.4;-3.2;0;0;80.8;81.5;81.17
"2021-01-01 23:00:00+01:00";33.1;37.464406779661;42.1;358;308;5;1.5;0.51333333333333;0.1;986.3;986.32833333333;986.4;1012;1012.1266666667;1012.2;-0.9;-0.665;-0.4;-1;0.165;0.8;75.1;76.611666666667;78;-3.8;-3.5516666666667;-3.3;0;0;80.5;81.2;80.876666666667
"2021-01-02 00:00:00+01:00";30.3;34.249152542373;38.7;354;288;0;1.1;0.52;0.2;986.3;986.49833333333;986.7;1012;1012.275;1012.5;-0.8;-0.55166666666667;-0.3;-0.7;0.27833333333333;0.9;74.6;76.185;77.7;-3.9;-3.5483333333333;-3.2;0;0;79.7;80.8;80.14
"2021-01-02 01:00:00+01:00";33.5;38.103333333333;44.1;357;19;2;2.1;0.68166666666667;0.2;986.6;986.88833333333;987;1012.4;1012.6883333333;1012.8;-0.9;-0.58166666666667;-0.4;-1.7;0.058333333333333;0.8;75.2;76.338333333333;78.1;-3.9;-3.57;-3.3;0;0;79.7;80.6;80.178333333333
"2021-01-02 02:00:00+01:00";37;42.645;48.1;357;71;8;2.1;1.0566666666667;0.2;986.9;987.05333333333;987.2;1012.7;1012.8533333333;1013;-1;-0.65333333333333;-0.3;-1.9;-0.455;0.8;74.6;76.575;78.6;-3.9;-3.5533333333333;-3.2;0;0;80.3;81.2;80.766666666667
"2021-01-02 03:00:00+01:00";42.6;46.661016949153;55.3;233;107;43;2.2;1.025;0.2;986.9;987.03166666667;987.1;1012.7;1012.8316666667;1012.9;-1;-0.73166666666667;-0.4;-2;-0.5;0.8;74.9;76.795;78.5;-3.8;-3.515;-3.2;0;0;81.1;81.8;81.516666666667
"2021-01-02 04:00:00+01:00";51.1;58.981355932203;67.1;196;82;37;2.6;1.1416666666667;0.4;986.9;987.05166666667;987.2;1012.7;1012.8516666667;1013;-0.9;-0.75166666666667;-0.5;-2.2;-0.64833333333333;0.5;75.5;76.871666666667;77.8;-3.7;-3.495;-3.3;0;0;81.3;81.9;81.658333333333
"2021-01-02 05:00:00+01:00";45.7;52.438983050847;57;120;72;4;2.5;1.175;0.3;987.1;987.16166666667;987.3;1012.9;1012.9616666667;1013.1;-0.7;-0.53666666666667;-0.4;-2;-0.47333333333333;0.6;75.4;76.096666666667;77.1;-3.8;-3.5333333333333;-3.3;0;0;79.7;81.3;80.145
"2021-01-02 06:00:00+01:00";36.1;43.783333333333;52.8;122;62;7;2.2;1.1983333333333;0.3;987.3;987.48166666667;987.7;1013.1;1013.2816666667;1013.5;-0.6;-0.5;-0.3;-1.7;-0.455;0.7;74.9;76.053333333333;76.7;-3.8;-3.5983333333333;-3.4;0;0;79.2;79.9;79.525
"2021-01-02 07:00:00+01:00";34;38.728813559322;42.2;121;74;0;2.5;1.02;0.4;987.6;987.77333333333;987.9;1013.4;1013.5733333333;1013.7;-0.9;-0.64833333333333;-0.5;-2.2;-0.40833333333333;0.4;75.9;76.841666666667;78.3;-4;-3.72;-3.5;0;0;79.3;80.2;79.705
"2021-01-02 08:00:00+01:00";35.6;39.632203389831;42.1;356;73;24;2.3;1.2133333333333;0.4;987.9;988.04;988.2;1013.7;1013.845;1014.1;-1.1;-0.81833333333333;-0.5;-2.3;-0.80333333333333;0.4;75.9;77.613333333333;79.3;-4.1;-3.7616666666667;-3.5;0;0;79.6;80.9;80.438333333333
"2021-01-02 09:00:00+01:00";33.1;37.610169491525;41.5;145;65;6;2.1;1.2283333333333;0.3;988.2;988.37166666667;988.6;1014;1014.1716666667;1014.4;-0.5;-0.29833333333333;-0.1;-1.3;-0.29;0.7;74.1;75.115;76.3;-3.8;-3.525;-3.3;0;0;78.1;80.1;78.851666666667
"2021-01-02 10:00:00+01:00";32.6;37.316666666667;41.1;119;70;27;2.4;1.3433333333333;0.4;988.6;988.72333333333;988.8;1014.4;1014.4583333333;1014.5;-0.1;0.38833333333333;1.2;-1.4;0.255;1.8;68.2;71.966666666667;74.3;-3.5;-3.2716666666667;-2.9;0;0;74.2;78.4;76.45
"2021-01-02 11:00:00+01:00";35.8;38.666101694915;41.9;354;68;5;1.9;1.0783333333333;0.4;988.2;988.49833333333;988.8;1013.7;1014.0383333333;1014.5;1.2;2.28;3;1.2;2.45;3.6;60.4;63.483333333333;68.3;-3;-2.4266666666667;-2;0;0;69.4;74.2;71.101666666667
"2021-01-02 12:00:00+01:00";39;44.021666666667;48.8;330;62;3;2.1;1.0983333333333;0.4;987.8;987.98666666667;988.2;1013.2;1013.3933333333;1013.7;3;3.6216666666667;4.2;2.8;3.77;4.6;55.5;57.848333333333;60.4;-2;-1.58;-1.1;0;0;68;69.7;68.791666666667
"2021-01-02 13:00:00+01:00";41.6;45.603389830508;49.2;137;88;23;2.6;1.2983333333333;0.4;987.7;987.765;987.9;1013;1013.065;1013.2;4.3;4.4566666666667;4.7;3;4.3916666666667;5.4;53.5;54.508333333333;55.2;-1.1;-0.83833333333333;-0.4;0;0;67.4;69.6;68.516666666667
"2021-01-02 14:00:00+01:00";40.6;45.763333333333;52.1;121;71;21;2.3;1.565;0.3;987.9;988.03833333333;988.2;1013.2;1013.3383333333;1013.5;4.4;4.665;4.9;3.3;4.3133333333333;5.5;52.7;53.586666666667;54.6;-0.6;-0.41666666666667;-0.3;0;0;68.8;70.6;69.621666666667
"2021-01-02 15:00:00+01:00";40.3;49.825423728814;60.4;89;63;17;2.6;1.3916666666667;0.4;988.2;988.35333333333;988.5;1013.5;1013.6833333333;1013.9;4.2;4.4866666666667;4.8;3.3;4.325;5.4;53;53.933333333333;54.8;-0.3;-0.155;0;0;0;69.8;73.9;71.888333333333
"2021-01-02 16:00:00+01:00";56.3;64.933898305085;73.7;114;44;16;2.4;1.3983333333333;0.3;988.1;988.295;988.4;1013.5;1013.695;1013.8;3.4;3.7266666666667;4.2;2.6;3.5516666666667;4.7;54.7;56.306666666667;57.5;-0.3;-0.185;0;0;0;74.1;76.7;75.565
"2021-01-02 17:00:00+01:00";69.1;75.775;80.3;356;38;6;1.4;0.795;0.2;988.1;988.19666666667;988.3;1013.5;1013.6066666667;1013.7;3.2;3.3583333333333;3.4;3.2;3.8333333333333;4.4;57.3;57.555;58.2;-0.5;-0.31666666666667;-0.2;0;0;76.5;77.2;76.868333333333
"2021-01-02 18:00:00+01:00";68;78.3;99.4;359;325;0;0.9;0.485;0.2;987.9;988.01166666667;988.2;1013.4;1013.5033333333;1013.6;2.5;2.7733333333333;3.3;3;3.5883333333333;4.4;57.7;60.106666666667;61.4;-1.1;-0.825;-0.3;0;0;76.3;77.6;77.168333333333
"2021-01-02 19:00:00+01:00";82.8;101.17457627119;113.1;358;352;1;1.2;0.58833333333333;0.2;987.9;988.05833333333;988.2;1013.4;1013.5583333333;1013.7;2.4;2.5566666666667;2.7;2.5;3.2666666666667;3.6;60.4;61.113333333333;61.9;-1.2;-1.05;-0.9;0;0;76.4;77.6;77.125
"2021-01-02 20:00:00+01:00";84;97.301666666667;114.2;356;307;0;1.1;0.66166666666667;0.2;988;988.13166666667;988.2;1013.5;1013.6783333333;1013.8;1.9;2.215;2.7;2.3;2.8516666666667;3.5;60.6;62.83;64.3;-1.8;-1.4533333333333;-1;0;0;76;77.6;76.69
"2021-01-02 21:00:00+01:00";79.7;90.093220338983;101.3;358;312;0;1.8;0.59166666666667;0.2;987.9;987.995;988.2;1013.4;1013.5516666667;1013.8;1.7;2.02;2.3;1.6;2.7216666666667;3.2;62.3;63.698333333333;65.3;-2;-1.5966666666667;-1.3;0;0;76;77.6;76.943333333333
"2021-01-02 22:00:00+01:00";78.5;86.667796610169;94.1;359;350;3;1.2;0.47;0.1;987.9;988.095;988.3;1013.4;1013.6716666667;1013.9;1.7;2.03;2.3;2.2;2.855;3.4;62.6;63.836666666667;65.3;-2;-1.7166666666667;-1.5;0;0;75.3;77;76.166666666667
"2021-01-02 23:00:00+01:00";83;93.288333333333;105;359;312;0;1.6;0.66166666666667;0.2;988;988.10333333333;988.2;1013.6;1013.7033333333;1013.8;1.5;1.7066666666667;2.1;1.3;2.3366666666667;2.8;63.6;65.391666666667;66.4;-2.3;-2.055;-1.7;0;0;75.6;76.6;76.095
"2021-01-03 00:00:00+01:00";84.8;92.218333333333;102.5;358;0;0;0.8;0.44333333333333;0.1;987.8;987.98166666667;988.1;1013.4;1013.5816666667;1013.7;1.3;1.5883333333333;1.8;2.1;2.4633333333333;2.9;65;66.006666666667;67.4;-2.5;-2.1916666666667;-2;0;0;75.5;76.5;75.97
"2021-01-03 01:00:00+01:00";83.5;89.242372881356;96.2;359;340;0;1.3;0.54333333333333;0.2;987.6;987.74166666667;987.9;1013.2;1013.3483333333;1013.5;1;1.5483333333333;1.9;1.5;2.3033333333333;3;64.6;66.331666666667;69;-2.9;-2.3516666666667;-1.9;0;0;74.6;75.9;75.348333333333
"2021-01-03 02:00:00+01:00";76.9;85.216666666667;92;358;318;7;1.3;0.715;0.3;987;987.36333333333;987.8;1012.6;1012.9766666667;1013.5;0.4;0.97666666666667;1.1;0.5;1.5516666666667;2.1;68.3;68.986666666667;72;-3.4;-2.75;-2.6;0;0;75.6;76.6;76.181666666667
"2021-01-03 03:00:00+01:00";73.2;76.996610169492;81.2;280;114;0;1;0.44;0.1;986.8;986.97;987.3;1012.4;1012.625;1013;0.4;0.77;1.1;0.7;1.6566666666667;2.3;68.3;69.963333333333;72;-3.3;-2.875;-2.5;0;0;75.4;77.2;76.608333333333
"2021-01-03 04:00:00+01:00";63.9;70.768333333333;81.3;352;59;4;1.5;0.83;0.1;985.9;986.39666666667;986.7;1011.5;1012.0033333333;1012.4;0.6;1.025;1.2;0.8;1.4783333333333;2.1;67.8;68.701666666667;70.8;-3.1;-2.6533333333333;-2.5;0;0;76;76.9;76.435
"2021-01-03 05:00:00+01:00";59.7;65.09;73.1;358;300;2;1.6;0.695;0.1;985.6;985.92166666667;986.3;1011.2;1011.535;1012;0.5;0.75166666666667;1.1;0.1;1.3583333333333;2.1;68.4;70.003333333333;71.5;-3.3;-2.85;-2.6;0;0;75.6;77.5;76.838333333333
"2021-01-03 06:00:00+01:00";59.1;62.803389830508;66.7;352;279;59;1.4;0.535;0.1;985.8;985.85666666667;986;1011.4;1011.4716666667;1011.7;0.3;0.57666666666667;0.8;0.4;1.3666666666667;2;69.7;70.885;72.3;-3.3;-3.0216666666667;-2.8;0;0;76.5;77.3;76.841666666667
"2021-01-03 07:00:00+01:00";46.2;55.618644067797;64;355;29;3;1.3;0.61833333333333;0.2;985.5;985.71166666667;985.9;1011.1;1011.3583333333;1011.6;0.1;0.455;0.8;0.3;1.1533333333333;1.6;69.8;71.506666666667;73.3;-3.4;-3.1183333333333;-2.8;0;0;76.2;77.7;77.013333333333
"2021-01-03 08:00:00+01:00";28.8;39.362711864407;47;346;61;0;2.2;0.95666666666667;0.2;985.4;985.53166666667;985.7;1011;1011.1316666667;1011.3;0.7;1.09;1.4;-0.1;1.3983333333333;2.3;67.3;68.693333333333;70.4;-3.1;-2.93;-2.8;0;0;73;76.3;74.608333333333
"2021-01-03 09:00:00+01:00";28.3;34;38.6;354;45;0;2.7;0.93666666666667;0.1;985.5;985.89833333333;986.1;1011.1;1011.405;1011.6;1.4;1.66;1.8;0;1.9916666666667;3;65.6;66.24;67.3;-3;-2.815;-2.6;0;0;71.3;73.7;72.133333333333
"2021-01-03 10:00:00+01:00";30.4;34.523333333333;38.2;358;44;8;2.2;0.86333333333333;0.2;986;986.07;986.2;1011.5;1011.57;1011.7;1.8;2.1833333333333;2.6;0.9;2.5916666666667;3.7;62.1;63.946666666667;65.6;-2.8;-2.635;-2.4;0;0;69;71.9;70.506666666667
"2021-01-03 11:00:00+01:00";34.1;40.65593220339;45.6;359;24;2;1.9;0.94;0.2;985.7;985.86833333333;986.1;1011.1;1011.295;1011.6;2.5;2.79;3.2;1.9;3.1166666666667;4.2;59.6;61.315;62.6;-2.6;-2.2683333333333;-2.1;0.03;0.031666666666667;68;70.2;69.371666666667
"2021-01-03 12:00:00+01:00";40.7;48.591666666667;55;353;62;6;2.3;1.1083333333333;0.3;985.2;985.41333333333;985.7;1010.6;1010.8133333333;1011.1;3.2;3.2883333333333;3.5;2.1;3.43;4.3;58.4;59.246666666667;59.6;-2.4;-2.2483333333333;-2.1;0.03;0;66.1;68.1;67.031666666667
"2021-01-03 13:00:00+01:00";51.1;54.516949152542;58.5;355;50;0;2.3;0.96166666666667;0.2;985.3;985.46666666667;985.6;1010.6;1010.775;1010.9;3.4;3.7416666666667;3.9;2.8;4.04;5;56.8;57.433333333333;58.8;-2.4;-2.1816666666667;-2;0.03;0;64.7;66.3;65.25
"2021-01-03 14:00:00+01:00";41.6;46.662711864407;53.2;359;28;1;2.2;0.91333333333333;0.2;985.1;985.22166666667;985.4;1010.4;1010.5166666667;1010.7;3.9;4.1616666666667;4.6;3;4.5133333333333;5.4;54;55.756666666667;56.8;-2.1;-1.9766666666667;-1.8;0.03;0;62.8;65.5;64.378333333333
"2021-01-03 15:00:00+01:00";38.5;44.322033898305;48.9;313;65;7;2;1.0533333333333;0.1;985;985.16166666667;985.4;1010.2;1010.3666666667;1010.7;4.6;4.63;4.7;3.9;4.8183333333333;5.8;53.6;53.926666666667;54.1;-2;-1.865;-1.7;0.03;0;62;63.6;62.815
"2021-01-03 16:00:00+01:00";40.4;43.886666666667;48.3;355;2;2;1.7;0.78166666666667;0.3;985;985.19833333333;985.3;1010.3;1010.495;1010.6;3.9;4.165;4.6;3.4;4.6666666666667;5.5;54.1;55.75;56.8;-2.1;-1.8933333333333;-1.7;0.03;0;63.7;65.5;64.691666666667
"2021-01-03 17:00:00+01:00";39;44.876271186441;47.9;356;91;20;2.5;0.92333333333333;0.2;984.8;984.93333333333;985.1;1010.1;1010.2383333333;1010.4;3.2;3.8083333333333;4;2.6;4.1433333333333;5;56.4;57.166666666667;59.6;-2.4;-2.1;-2;0.03;0;64.8;67.4;65.348333333333
"2021-01-03 18:00:00+01:00";43.3;47.547457627119;51.1;348;241;16;1.7;0.53166666666667;0.1;984.9;985.04833333333;985.1;1010.3;1010.4316666667;1010.5;3;3.2683333333333;3.5;2.7;4.03;4.6;58.4;59.326666666667;60.4;-2.2;-1.99;-1.8;0.03;0;67.5;69.5;68.441666666667
"2021-01-03 19:00:00+01:00";46.8;50.136666666667;55.1;349;285;11;1.5;0.82333333333333;0.2;985.1;985.36333333333;985.6;1010.5;1010.7633333333;1011;2.7;2.8383333333333;3;2.5;3.285;4;60.4;61.07;61.7;-2.4;-2.0783333333333;-1.9;0.03;0;69.3;70.8;70.098333333333
"2021-01-03 20:00:00+01:00";46.9;50.343333333333;54.1;359;254;2;1.5;0.63666666666667;0.1;985.6;985.87666666667;986.1;1011;1011.2766666667;1011.5;2.7;2.93;3.1;2.6;3.5866666666667;4.2;60;60.678333333333;61.6;-2.2;-2.035;-1.9;0.03;0;69;71.2;69.863333333333
"2021-01-03 21:00:00+01:00";46.4;55.216666666667;68.1;353;221;4;2.2;0.98666666666667;0.2;986;986.235;986.5;1011.4;1011.6716666667;1012;2.6;2.975;3.4;1.9;3.2433333333333;4.3;58.6;60.351666666667;61.8;-2;-1.7083333333333;-1.5;0.03;0;70.1;72.9;71.335
"2021-01-03 22:00:00+01:00";53.9;58.67;64.3;357;264;4;1.5;0.505;0.1;986.4;986.61833333333;986.9;1011.9;1012.1133333333;1012.4;2.4;2.6116666666667;2.8;2.3;3.3983333333333;3.9;60.9;61.74;62.7;-2;-1.7583333333333;-1.6;0.03;0;72.6;73.5;72.943333333333
"2021-01-03 23:00:00+01:00";54.8;64.179661016949;72;325;263;178;1.3;0.66666666666667;0.3;986.9;987.065;987.2;1012.4;1012.565;1012.7;2.2;2.3133333333333;2.4;2.2;2.9433333333333;3.3;62.4;62.838333333333;63.4;-1.9;-1.7616666666667;-1.6;0.03;0;73.5;74.9;74.508333333333
"2021-01-04 00:00:00+01:00";65;72.145;78.7;353;259;167;0.9;0.43833333333333;0.1;986.7;986.9;987.1;1012.2;1012.4;1012.6;2.3;2.3616666666667;2.4;2.7;3.2283333333333;3.7;62.4;62.595;63;-1.8;-1.7016666666667;-1.6;0.03;0;74.1;74.8;74.593333333333
"2021-01-04 01:00:00+01:00";64.2;70.823333333333;80.3;354;299;1;1;0.42666666666667;0.1;986.5;986.59833333333;986.7;1012;1012.0983333333;1012.2;1.8;2.1383333333333;2.4;2.3;3.0166666666667;3.7;62.4;63.543333333333;65.1;-2.1;-1.8216666666667;-1.6;0;0;74.5;75.7;75.108333333333
"2021-01-04 02:00:00+01:00";66.5;70.991525423729;79.1;318;117;43;1.3;0.55166666666667;0.2;986.6;986.78333333333;987;1012.1;1012.3616666667;1012.6;1.4;1.6366666666667;2;1.6;2.3883333333333;3;63.8;65.711666666667;67;-2.4;-2.1033333333333;-1.6;0;0;75.6;77.1;76.216666666667
"2021-01-04 03:00:00+01:00";67.2;73.836666666667;78.6;358;332;1;1.1;0.63833333333333;0.1;986.7;986.775;986.9;1012.2;1012.3533333333;1012.5;1;1.565;1.8;1.8;2.235;2.7;64.9;66.118333333333;69;-2.8;-2.1966666666667;-1.9;0;0;75.6;76.5;76.03
"2021-01-04 04:00:00+01:00";67.3;75.091525423729;79.5;359;327;0;1.2;0.53666666666667;0.2;986.7;986.86833333333;987.1;1012.3;1012.4833333333;1012.8;0.7;0.85333333333333;1;0.8;1.63;2.2;68.7;69.533333333333;70.4;-3;-2.8083333333333;-2.6;0;0;75.7;77.1;76.548333333333
"2021-01-04 05:00:00+01:00";66.2;71.247457627119;78.6;355;311;0;1.3;0.575;0.2;986.8;987.02;987.1;1012.4;1012.6633333333;1012.8;0.7;0.8;0.9;0.7;1.5266666666667;2;69.3;69.838333333333;70.4;-3;-2.865;-2.7;0;0;75.9;76.8;76.45
"2021-01-04 06:00:00+01:00";65.2;69.363333333333;74;359;269;170;1.1;0.565;0.2;986.6;986.82166666667;987;1012.2;1012.4483333333;1012.6;0.4;0.84833333333333;1.1;0.7;1.5933333333333;2.3;68.3;69.616666666667;71.8;-3.2;-2.845;-2.6;0;0;75.8;77.2;76.308333333333
"2021-01-04 07:00:00+01:00";62.7;70.878333333333;75.7;226;121;39;1.4;0.75166666666667;0.3;986.7;986.9;987.2;1012.4;1012.5483333333;1012.8;0.4;0.73;1.1;0.2;1.2633333333333;2;68.1;69.99;71.8;-3.2;-2.7816666666667;-2.5;0;0;76.6;78.3;77.393333333333
"2021-01-04 08:00:00+01:00";74.1;79.116949152542;85.3;356;22;0;1.6;0.58833333333333;0.2;987.2;987.555;987.7;1012.8;1013.155;1013.3;1.1;1.4033333333333;1.8;0.7;2.1116666666667;2.9;65;66.916666666667;68.3;-2.6;-2.385;-2;0;0;74.6;76.8;75.926666666667
"2021-01-04 09:00:00+01:00";44.9;72.603389830508;93.2;341;71;7;2.8;0.93833333333333;0.1;987.6;987.67166666667;987.7;1013;1013.1683333333;1013.3;1.5;2.6416666666667;3.7;1.6;2.985;4.5;57.2;61.566666666667;66.6;-2.5;-1.6083333333333;-1;0;0;70.7;76.4;73.66
"2021-01-04 10:00:00+01:00";36;49.1;64;159;71;9;3.3;1.02;0.3;987.4;987.56;987.7;1012.7;1012.895;1013;3.4;4.2966666666667;5.3;1.4;4.5366666666667;5.9;51.5;55.001666666667;58.4;-1.1;-0.69333333333333;-0.3;0;0;66.8;72.4;70.015
"2021-01-04 11:00:00+01:00";41;54.152542372881;74.8;185;88;2;2.6;1.01;0.2;987.2;987.29333333333;987.5;1012.5;1012.57;1012.7;4.2;4.7133333333333;5.6;2.8;4.965;6.5;50.4;53.546666666667;55.4;-0.9;-0.63833333333333;-0.3;0;0;64.8;70.7;68.333333333333
